"species","i","j","P_ij","F_ij"
"Lemna minor",1,1,0.999999998170686,0.32616693904551
"Lemna minor",2,1,0.999999992536944,0.465316343516184
"Lemna minor",3,1,0.999999969666657,0.636094152439299
"Lemna minor",4,1,0.999999877881594,0.795051652265921
"Lemna minor",5,1,0.99999951679037,0.87853706933459
"Lemna minor",6,1,0.99999813774138,0.853424783626254
"Lemna minor",7,1,0.999993078275323,0.747696593714609
"Lemna minor",8,1,0.999975438109002,0.620619073652019
"Lemna minor",9,1,0.999917612472206,0.517161848247403
"Lemna minor",10,1,0.999741221836891,0.454648766712033
"Lemna minor",11,1,0.999245382958265,0.433520143594186
"Lemna minor",12,1,0.997972596367605,0.448253202745194
"Lemna minor",13,1,0.995014884415314,0.49005365837596
"Lemna minor",14,1,0.988845455993782,0.544288935815542
"Lemna minor",15,1,0.977392285130443,0.58974775287695
"Lemna minor",16,1,0.958621627011998,0.606010316551786
"Lemna minor",17,1,0.931636899045787,0.585738232782218
"Lemna minor",18,1,0.897711123527516,0.539111367474704
"Lemna minor",19,1,0.860366424229401,0.485161842469704
"Lemna minor",20,1,0.824243728109535,0.439930562363621
"Lemna minor",21,1,0.793527990116878,0.411274917459076
"Lemna minor",22,1,0.770899276353513,0.399791407797913
"Lemna minor",23,1,0.757316466597797,0.40109600768731
"Lemna minor",24,1,0.752342118972302,0.407413689464339
"Lemna minor",25,1,0.754628236697622,0.409514091630119
"Lemna minor",26,1,0.762358689562189,0.400169007070809
"Lemna minor",27,1,0.773594962867572,0.377723881682953
"Lemna minor",28,1,0.786526453881594,0.346637249635232
"Lemna minor",29,1,0.799629834331952,0.31426903668447
"Lemna minor",30,1,0.811740834046336,0.286841666370358
"Lemna minor",1,2,0.999999999998486,0.169297186638001
"Lemna minor",2,2,0.999999999988152,0.332675238596099
"Lemna minor",3,2,0.999999999907993,0.587849570304811
"Lemna minor",4,2,0.999999999299029,0.844000173235338
"Lemna minor",5,2,0.999999994838011,0.939053463374385
"Lemna minor",6,2,0.999999963873539,0.837163986553558
"Lemna minor",7,2,0.999999763917767,0.660301155456982
"Lemna minor",8,2,0.999998584100902,0.52011421779817
"Lemna minor",9,2,0.999992329906199,0.449351586319036
"Lemna minor",10,2,0.999962989321156,0.44043265266181
"Lemna minor",11,2,0.999842711588233,0.475806767936503
"Lemna minor",12,2,0.999416211621248,0.530071466034506
"Lemna minor",13,2,0.998117982854585,0.570016497023306
"Lemna minor",14,2,0.994744656064203,0.57206543812152
"Lemna minor",15,2,0.987292703981974,0.541159934528183
"Lemna minor",16,2,0.973334508723113,0.50287432096154
"Lemna minor",17,2,0.951170828104822,0.480487710243777
"Lemna minor",18,2,0.921209640885518,0.483420366686219
"Lemna minor",19,2,0.886369353696772,0.5069933082548
"Lemna minor",20,2,0.850957085261406,0.534289549574477
"Lemna minor",21,2,0.818896182056996,0.542430538113554
"Lemna minor",22,2,0.792555464382768,0.517508142752149
"Lemna minor",23,2,0.772576573363454,0.466137216350183
"Lemna minor",24,2,0.758319975104072,0.408489305409539
"Lemna minor",25,2,0.748450269326908,0.361938452962424
"Lemna minor",26,2,0.74140917615633,0.333207772013767
"Lemna minor",27,2,0.735718827387793,0.32018508069085
"Lemna minor",28,2,0.730142257761942,0.316145989919143
"Lemna minor",29,2,0.72374701605835,0.313821848251902
"Lemna minor",30,2,0.715912572697897,0.30966115896815
"Lemna minor",1,3,1,0.145032370068037
"Lemna minor",2,3,1,0.281788124832967
"Lemna minor",3,3,1,0.495384812982579
"Lemna minor",4,3,0.999999999999332,0.717258268628816
"Lemna minor",5,3,0.999999999989488,0.820168322432366
"Lemna minor",6,3,0.999999999846729,0.765482517428234
"Lemna minor",7,3,0.999999997982381,0.638585091774214
"Lemna minor",8,3,0.999999976610257,0.52967977928586
"Lemna minor",9,3,0.999999766513359,0.47226530755328
"Lemna minor",10,3,0.999998030752298,0.463646083691157
"Lemna minor",11,3,0.9999861723209,0.487792524838844
"Lemna minor",12,3,0.999919963628425,0.52162716823226
"Lemna minor",13,3,0.999620052299534,0.541301732802298
"Lemna minor",14,3,0.998521294866884,0.535626001525972
"Lemna minor",15,3,0.995265118248424,0.51251526406655
"Lemna minor",16,3,0.987440924224081,0.489006411269504
"Lemna minor",17,3,0.972131903045124,0.47751030689608
"Lemna minor",18,3,0.947555588278301,0.480137369145815
"Lemna minor",19,3,0.914742762871968,0.489596180928282
"Lemna minor",20,3,0.877521742671899,0.493510918489226
"Lemna minor",21,3,0.840632836619642,0.481803813722768
"Lemna minor",22,3,0.807663197733961,0.453350872080353
"Lemna minor",23,3,0.780183100640365,0.415639364768964
"Lemna minor",24,3,0.758024573446351,0.378212935758376
"Lemna minor",25,3,0.739996496177902,0.347112700105805
"Lemna minor",26,3,0.724534133033374,0.324115305373309
"Lemna minor",27,3,0.710125808260486,0.309119960271868
"Lemna minor",28,3,0.695539277066342,0.302976097926583
"Lemna minor",29,3,0.679914704561618,0.30926539853814
"Lemna minor",30,3,0.662779614092549,0.334947910179599
"Lemna minor",1,4,0.9999999976264,0.04827761276191
"Lemna minor",2,4,0.999999990229016,0.10842792653509
"Lemna minor",3,4,0.999999959981032,0.223595149691569
"Lemna minor",4,4,0.999999838164122,0.388727104033199
"Lemna minor",5,4,0.999999360133168,0.542864398354069
"Lemna minor",6,4,0.999997553752195,0.614955378895024
"Lemna minor",7,4,0.999991060072137,0.599246785065965
"Lemna minor",8,4,0.999969113560988,0.543575842138028
"Lemna minor",9,4,0.999900141302002,0.491177495212776
"Lemna minor",10,4,0.999700517661165,0.4590098711201
"Lemna minor",11,4,0.999172761406214,0.446475352349616
"Lemna minor",12,4,0.997906604181391,0.446822973225465
"Lemna minor",13,4,0.9951638828416,0.453931225988419
"Lemna minor",14,4,0.989819248710574,0.465191359832903
"Lemna minor",15,4,0.980471962125242,0.48058472265311
"Lemna minor",16,4,0.965809968686705,0.499009359223879
"Lemna minor",17,4,0.945148314856187,0.514926329727106
"Lemna minor",18,4,0.918864088828627,0.518987884036195
"Lemna minor",19,4,0.888423602608168,0.504308548739524
"Lemna minor",20,4,0.855946189092257,0.473863309179247
"Lemna minor",21,4,0.823561814087746,0.4405916134014
"Lemna minor",22,4,0.792900311465152,0.419684889295139
"Lemna minor",23,4,0.764880053736115,0.421350704854909
"Lemna minor",24,4,0.739757935090733,0.447743476142435
"Lemna minor",25,4,0.717313032651356,0.490408307841162
"Lemna minor",26,4,0.69705336479751,0.528240047916822
"Lemna minor",27,4,0.678387250966038,0.535422458667544
"Lemna minor",28,4,0.660742198301031,0.502118973842971
"Lemna minor",29,4,0.643635229738866,0.445335556080261
"Lemna minor",30,4,0.626705239510591,0.393596564187016
